場所,年月日,所属,曜日,馬名,Ｃ,性別,年齢,調教師,Time1,Time2,Time3,Time4,Lap4,Lap3,Lap2,Lap1,馬番/仮番(出馬表モード時のみ)
栗東,20260902,栗東,水,グリミスティ,,牝,3,森田直行,54.6,40.2,26.1,13.0,14.4,14.1,13.1,13.0,
栗東,20260830,栗東,日,グルード,,牡,2,牧田和弥,59.0,42.7,27.8,13.4,16.3,14.9,14.4,13.4,
栗東,20260903,栗東,木,グルード,,牡,2,牧田和弥,55.9,40.5,26.4,13.2,15.4,14.1,13.2,13.2,
美浦,20260827,美浦,木,グローリアスダンス,,牝,3,粕谷昌央,54.6,38.7,25.5,12.7,15.9,13.2,12.8,12.7,
美浦,20260830,美浦,日,グロッシェン,,牡,5,手塚貴徳,55.4,40.2,25.8,12.3,15.2,14.4,13.5,12.3,
美浦,20260830,美浦,日,ゴールデンパルス,,牡,2,柄崎将寿,57.8,41.9,26.8,12.6,15.9,15.1,14.2,12.6,
美浦,20260902,美浦,水,ココボロ,,牝,5,松山将樹,53.4,39.3,25.3,12.3,14.1,14.0,13.0,12.3,
栗東,20260902,栗東,水,コマチチャン,,牝,3,小椋研介,54.7,39.3,25.9,13.2,15.4,13.4,12.7,13.2,
美浦,20260827,美浦,木,サードウインド,,牝,4,西田雄一,53.3,39.2,25.2,12.0,14.1,14.0,13.2,12.0,
栗東,20260826,栗東,水,サカトクフェイス,,牡,3,今野貞一,58.1,41.5,26.4,13.1,16.6,15.1,13.3,13.1,
栗東,20260830,栗東,日,ザックザク,,牡,4,渡辺薫彦,56.2,40.6,26.0,12.8,15.6,14.6,13.2,12.8,
美浦,20260826,美浦,水,サムシングスイート,,牝,3,伊藤大士,53.2,38.9,25.1,12.1,14.3,13.8,13.0,12.1,
栗東,20260826,栗東,水,ザラタン,,牝,4,中竹和也,56.7,41.0,26.7,13.5,15.7,14.3,13.2,13.5,
栗東,20260902,栗東,水,ザラタン,,牝,4,中竹和也,54.5,40.0,26.1,12.9,14.5,13.9,13.2,12.9,
