中7,ダ,1800,9, サングラント,(美),金成貴史,三浦皇成,3,,2,5,60,1,67,2,92,8,239,4,,ルヴァンスレーヴ
阪12,ダ,1200,4, サンライズブレイク,(栗),浜田多実,小沢大仁,14,,1,14,10,15,30,14,51,12,73,12,,フォーウィールドライブ
阪11,芝,2000,7, ジーティーアダマン,(栗),上村洋行,岩田望来,7,,4,3,30,11,48,9,113,5,149,7,,ルーラーシップ
阪11,芝,2000,2, ジーティーダーリン,(栗),田中克典,松本大輝,5,,2,11,38,6,31,13,74,10,35,16,,サートゥルナーリア
中3,ダ,1200,10, ジーティーニッツァ,(美),伊藤伸一,遠藤汰月,10,,3,3,49,5,46,4,85,11,177,7,,ミスチヴィアスアレックス
中4,芝,2000,10, ジェイエルグリーン,(美),平岩大典,原優介,11,,2,8,41,4,50,4,77,17,152,10,,アニマルキングダム
中12,ダ,1800,13, ジェネラスキング,(美),久保田貴,横山武史,5,,3,1,36,4,64,2,102,6,244,2,,ルーラーシップ
中6,ダ,1200,3, ジェミニディウ,(美),伊藤圭三,丹内祐次,5,,3,5,23,6,26,5,49,7,142,5,,マジェスティックウォリアー
中4,芝,2000,17,$シェンロン,(美),尾関知人,内田博幸,5,,2,8,23,10,19,17,17,18,38,18,,"Bricks and Mortar"
阪9,芝,1400,9,$ジッピーレーサー,(美),天間昭一,秋山稔樹,13,,1,12,13,13,17,12,21,13,43,13,,"City Zip"
中1,ダ,1800,4, シャイニーヒーロー,(美),畠山吉宏,小崎綾也,11,,2,4,19,10,26,11,68,5,161,4,,サトノアラジン
阪7,ダ,1400,7, シャインゴーツ,(栗),北出成人,永島まな,11,,3,2,20,10,48,7,82,12,168,9,,アルアイン
阪2,芝,2000,3, シャプシュ,(栗),新谷功一,田山旺佑,7,,2,4,21,7,48,6,32,7,103,7,,コントレイル
中3,ダ,1200,3, ジャメビュ,(美),佐藤吉勝,原優介,7,,3,3,23,10,56,3,107,6,134,11,,ダノンレジェンド
中9,芝,1600,12, シャンソンドール,(美),奥村武,戸崎圭太,1,,2,5,62,1,60,2,89,4,147,4,,レイデオロ
