場所,年月日,日付S,曜日,馬名,Ｃ,性別,調教師,6F,5F,4F,3F,2F,1F,Lap6,Lap5,Lap4,Lap3,Lap2,Lap1
栗東,20260923,2026.9.23,水,マイネルフルムーン,,牡,吉田直弘,82.3,66.7,52.0,37.3,23.4,11.7,15.6,14.7,14.7,13.9,11.7,11.7
栗東,20260921,2026.9.21,月,マイノワール,,牡,笹田和秀,79.0,65.0,52.1,38.2,24.3,12.6,14.0,12.9,13.9,13.9,11.7,12.6
美浦,20260920,2026.9.20,日,マイバラード,,牡,松永康利,,,55.8,38.7,24.1,11.3,,,17.1,14.6,12.8,11.3
美浦,20260923,2026.9.23,水,マルスフィス,,牡,斎藤誠,82.6,66.1,51.5,37.4,24.3,11.9,16.5,14.6,14.1,13.1,12.4,11.9
美浦,20260923,2026.9.23,水,ミッドセンチュリー,,牡,松山将樹,85.0,68.8,53.6,38.2,24.4,11.9,16.2,15.2,15.4,13.8,12.5,11.9
美浦,20260923,2026.9.23,水,ミラビリオン,Ｃ,牡,伊坂重信,85.5,67.8,52.1,38.0,24.3,11.7,17.7,15.7,14.1,13.7,12.6,11.7
栗東,20260923,2026.9.23,水,メイショウズイウン,,牡,本田優,84.0,68.1,52.7,37.2,23.3,11.6,15.9,15.4,15.5,13.9,11.7,11.6
美浦,20260923,2026.9.23,水,メイショウソムリエ,,セ,蛯名正義,85.4,67.9,52.3,37.5,23.8,11.4,17.5,15.6,14.8,13.7,12.4,11.4
栗東,20260923,2026.9.23,水,メイショウピリカ,,牝,本田優,83.8,68.0,52.6,37.1,23.2,11.6,15.8,15.4,15.5,13.9,11.6,11.6
栗東,20260923,2026.9.23,水,モンドドゥアムール,,牝,高橋康之,,,55.8,39.4,24.3,11.8,,,16.4,15.1,12.5,11.8
美浦,20260923,2026.9.23,水,ライヴレッドアイ,,牝,牧光二,84.5,67.7,52.5,37.5,23.6,11.9,16.8,15.2,15.0,13.9,11.7,11.9
栗東,20260921,2026.9.21,月,ラガーレッドムーン,,牝,池添学,86.2,69.4,53.6,38.1,23.6,11.6,16.8,15.8,15.5,14.5,12.0,11.6
栗東,20260923,2026.9.23,水,ラムジェット,,牡,松永幹夫,81.1,65.6,51.2,37.1,23.5,11.7,15.5,14.4,14.1,13.6,11.8,11.7
栗東,20260921,2026.9.21,月,ランスオブヒーロー,,牡,奥村豊,87.5,70.6,54.7,37.9,23.0,11.1,16.9,15.9,16.8,14.9,11.9,11.1
美浦,20260920,2026.9.20,日,ランドスター,,牡,柄崎将寿,88.6,71.8,55.7,39.2,23.7,11.0,16.8,16.1,16.5,15.5,12.7,11.0
美浦,20260923,2026.9.23,水,リアレスト,,牡,尾関知人,83.3,66.1,51.5,37.3,24.1,11.8,17.2,14.6,14.2,13.2,12.3,11.8
美浦,20260920,2026.9.20,日,リーゼノアール,,セ,清水英克,85.2,68.1,52.6,37.6,23.9,11.7,17.1,15.5,15.0,13.7,12.2,11.7
美浦,20260923,2026.9.23,水,リキマル,,牡,青木孝文,82.6,66.2,51.3,36.8,23.6,11.8,16.4,14.9,14.5,13.2,11.8,11.8
美浦,20260923,2026.9.23,水,リゾートライン,Ｃ,牡,伊坂重信,84.2,66.7,52.0,38.1,24.4,11.8,17.5,14.7,13.9,13.7,12.6,11.8
栗東,20260921,2026.9.21,月,ルージュラボルタ,,牝,辻野泰之,88.1,69.2,52.9,38.0,23.7,12.0,18.9,16.3,14.9,14.3,11.7,12.0
美浦,20260923,2026.9.23,水,ルンベーラ,,牝,菊川正達,86.3,68.8,53.4,38.6,24.4,11.5,17.5,15.4,14.8,14.2,12.9,11.5
美浦,20260923,2026.9.23,水,レオアジャイル,,牝,杉浦宏昭,86.1,67.2,52.2,37.3,23.6,11.4,18.9,15.0,14.9,13.7,12.2,11.4
栗東,20260923,2026.9.23,水,レガリアフォリア,,牡,四位洋文,,,54.0,38.4,23.7,11.4,,,15.6,14.7,12.3,11.4
美浦,20260923,2026.9.23,水,ロスパレドネス,,牡,木村哲也,86.3,68.6,53.3,38.7,24.5,11.6,17.7,15.3,14.6,14.2,12.9,11.6
栗東,20260923,2026.9.23,水,ロックウイズミー,,牡,緒方努,82.6,68.4,54.0,38.9,24.3,12.0,14.2,14.4,15.1,14.6,12.3,12.0
栗東,20260923,2026.9.23,水,ワルトシュタイン,,牡,佐藤悠太,81.9,66.5,52.5,38.0,24.0,12.0,15.4,14.0,14.5,14.0,12.0,12.0
