場所,年月日,所属,曜日,馬名,Ｃ,性別,年齢,調教師,Time1,Time2,Time3,Time4,Lap4,Lap3,Lap2,Lap1,馬番/仮番(出馬表モード時のみ)
栗東,20260816,栗東,日,カポレイラ,,牝,4,北出成人,59.0,43.0,27.3,13.0,16.0,15.7,14.3,13.0,
栗東,20260819,栗東,水,カポレイラ,,牝,4,北出成人,55.7,40.2,26.0,12.4,15.5,14.2,13.6,12.4,
美浦,20260813,美浦,木,カンレイスター,,牝,3,矢野英一,53.7,38.0,24.5,12.2,15.7,13.5,12.3,12.2,
栗東,20260816,栗東,日,キトゥンズクラフト,,牡,2,池江泰寿,59.7,43.3,27.8,13.3,16.4,15.5,14.5,13.3,
栗東,20260812,栗東,水,ギレイ,,牡,3,清水久詞,56.1,40.6,26.2,13.0,15.5,14.4,13.2,13.0,
栗東,20260819,栗東,水,クインズセレネ,,牝,5,野中賢二,55.4,40.4,26.2,12.9,15.0,14.2,13.3,12.9,
美浦,20260819,美浦,水,クールストラッチン,,牝,2,田島俊明,53.5,38.5,24.8,12.4,15.0,13.7,12.4,12.4,
美浦,20260813,美浦,木,グラウンドビート,,セ,5,中舘英二,53.5,39.1,25.4,12.3,14.4,13.7,13.1,12.3,
美浦,20260819,美浦,水,グラウンドビート,,セ,5,中舘英二,53.3,39.0,25.9,12.7,14.3,13.1,13.2,12.7,
栗東,20260816,栗東,日,グリーンゴー,,牡,3,福永祐一,55.7,39.8,25.7,12.7,15.9,14.1,13.0,12.7,
栗東,20260819,栗東,水,グリーンゴー,,牡,3,福永祐一,54.8,39.7,25.8,12.6,15.1,13.9,13.2,12.6,
美浦,20260816,美浦,日,クロニクル,,セ,7,平岩大典,54.8,39.8,25.9,12.5,15.0,13.9,13.4,12.5,
美浦,20260819,美浦,水,クロニクル,,セ,7,平岩大典,52.7,38.9,25.5,12.6,13.8,13.4,12.9,12.6,
栗東,20260819,栗東,水,ケイアイトリノ,,牡,2,平田修,54.3,39.3,25.5,13.0,15.0,13.8,12.5,13.0,
